recipe_id,recipe_name,category,category_id,preparation_time_min,calories,protein_g,carbohydrates_g,fat_g,estimated_cost_usd,dietary_tags
1,Classic Spinach & Mushroom Omelette,Breakfast,0,15,468.9,29.8,5.4,36.8,2.63,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
2,Greek Yogurt Berry Nut Bowl,Breakfast,0,5,449.8,26.1,41.6,22.8,4.12,Vegetarian;Gluten-Free;High-Protein;Halal
3,Avocado & Egg Whole Wheat Toast,Breakfast,0,10,639.6,24.0,43.1,43.7,2.64,Vegetarian;Halal
4,Peanut Butter Banana Oatmeal,Breakfast,0,10,656.7,25.4,84.5,27.5,1.38,Vegan;Vegetarian;Dairy-Free;Halal
5,High-Protein Tofu Breakfast Scramble,Breakfast,0,15,314.7,17.1,12.3,24.1,2.79,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
6,Berry Chia Yogurt Parfait,Breakfast,0,5,449.5,24.1,34.1,26.9,3.46,Vegetarian;Gluten-Free;Halal
7,Grilled Chicken & Quinoa Harvest Bowl,Lunch,1,25,587.1,62.9,30.6,23.4,4.39,Gluten-Free;High-Protein;Halal
8,Mediterranean Chickpea & Avocado Salad,Lunch,1,12,591.0,15.1,51.1,40.4,3.71,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
9,Tuna Salad Whole Wheat Wrap,Lunch,1,10,434.9,43.2,48.2,7.7,2.88,High-Protein;Halal
10,Black Bean Burrito Bowl with Brown Rice,Lunch,1,20,412.1,16.0,62.2,11.9,2.34,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
11,Creamy Tomato & Mozzarella Penne,Lunch,1,20,470.7,22.1,43.5,24.2,2.25,Vegetarian;Halal
12,Turkey Avocado BLT Wrap,Lunch,1,15,841.7,50.7,60.5,47.8,4.86,High-Protein;Halal
13,Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato,Dinner,2,30,789.3,47.7,51.5,43.1,7.68,Gluten-Free;High-Protein;Halal
